APK Path,Model,Result
com.google.android.apps.walletnfcrel,apd_ae,False
com.touchtype.swiftkey,abig_ae,True
com.bluebloodapps.news,apd_vae,False
com.google.android.apps.walletnfcrel,abig_vae,True
com.google.android.apps.walletnfcrel,exodus_vae,True
com.xiaomi.calendar,apd_sae,False
com.xiaomi.calendar,apd_ae,False
com.xiaomi.calendar,abig_sae,True
com.xiaomi.calendar,exodus_ae,True
com.xiaomi.calendar,exodus_sae,True
com.google.android.apps.walletnfcrel,abig_ae,True
com.asus.contacts,apd_vae,True
com.xiaomi.calendar,abig_vae,True
com.xiaomi.calendar,exodus_vae,True
com.bluebloodapps.news,apd_sae,False
com.bluebloodapps.news,abig_sae,False
com.bluebloodapps.news,exodus_ae,False
com.bluebloodapps.news,exodus_sae,False
com.bluebloodapps.news,apd_ae,False
com.opera.mini.android,apd_vae,False
com.xiaomi.calendar,abig_ae,True
com.bluebloodapps.news,exodus_vae,False
com.asus.contacts,apd_sae,False
com.asus.contacts,abig_sae,True
com.bluebloodapps.news,abig_vae,False
com.asus.contacts,apd_ae,True
com.asus.contacts,exodus_sae,True
com.asus.contacts,exodus_ae,True
com.korvac.liquid,apd_vae,False
com.asus.contacts,exodus_vae,True
com.bluebloodapps.news,abig_ae,False
com.opera.mini.android,abig_sae,True
com.asus.contacts,abig_vae,True
com.opera.mini.android,apd_sae,False
com.opera.mini.android,apd_ae,False
com.opera.mini.android,exodus_ae,False
com.opera.mini.android,exodus_sae,False
com.opera.mini.android,exodus_vae,False
com.facebook.orca,apd_vae,False
com.asus.contacts,abig_ae,True
com.korvac.liquid,abig_sae,True
com.opera.mini.android,abig_vae,True
com.korvac.liquid,apd_sae,True
com.korvac.liquid,apd_ae,True
com.korvac.liquid,exodus_sae,True
com.korvac.liquid,exodus_ae,True
com.oneplus.backuprestore,apd_vae,False
com.korvac.liquid,exodus_vae,True
com.facebook.orca,abig_sae,False
com.opera.mini.android,abig_ae,True
com.korvac.liquid,abig_vae,True
com.facebook.orca,apd_sae,False
com.facebook.orca,exodus_ae,False
com.facebook.orca,apd_ae,False
com.facebook.orca,exodus_sae,False
com.facebook.orca,exodus_vae,False
com.ecareme.asuswebstorage,apd_vae,False
com.korvac.liquid,abig_ae,True
com.oneplus.backuprestore,abig_sae,True
com.facebook.orca,abig_vae,False
com.oneplus.backuprestore,apd_sae,False
com.oneplus.backuprestore,exodus_ae,True
com.oneplus.backuprestore,apd_ae,False
com.oneplus.backuprestore,exodus_sae,True
ch.ecosoft.keepup,apd_vae,False
com.oneplus.backuprestore,abig_vae,True
com.facebook.orca,abig_ae,True
com.ecareme.asuswebstorage,abig_sae,True
com.oneplus.backuprestore,exodus_vae,True
com.ecareme.asuswebstorage,apd_sae,False
com.ecareme.asuswebstorage,apd_ae,False
com.ecareme.asuswebstorage,exodus_ae,True
com.sec.android.app.shealth,apd_vae,False
com.ecareme.asuswebstorage,exodus_vae,False
com.ecareme.asuswebstorage,abig_vae,True
com.oneplus.backuprestore,abig_ae,True
com.ecareme.asuswebstorage,exodus_sae,False
ch.ecosoft.keepup,abig_sae,True
ch.ecosoft.keepup,apd_sae,False
ch.ecosoft.keepup,apd_ae,False
ch.ecosoft.keepup,exodus_vae,False
com.asus.asusincallui,apd_vae,False
com.ecareme.asuswebstorage,abig_ae,True
ch.ecosoft.keepup,exodus_ae,False
com.sec.android.app.shealth,abig_sae,True
ch.ecosoft.keepup,abig_vae,True
ch.ecosoft.keepup,exodus_sae,False
com.sec.android.app.shealth,apd_sae,False
com.tdg.trueid.ph,apd_vae,False
com.sec.android.app.shealth,apd_ae,False
com.sec.android.app.shealth,exodus_vae,True
com.sec.android.app.shealth,exodus_sae,True
com.asus.asusincallui,abig_sae,True
ch.ecosoft.keepup,abig_ae,True
com.sec.android.app.shealth,exodus_ae,True
com.asus.asusincallui,apd_sae,False
com.sec.android.app.shealth,abig_vae,True
com.tdg.trueid.ph,abig_sae,True
com.sonymobile.androidapp.cameraaddon.areffect,apd_vae,False
com.asus.asusincallui,apd_ae,True
com.tdg.trueid.ph,apd_sae,False
com.sec.android.app.shealth,abig_ae,True
com.asus.asusincallui,exodus_ae,True
com.asus.asusincallui,exodus_sae,True
com.asus.asusincallui,exodus_vae,True
com.asus.asusincallui,abig_vae,True
com.singtel.mysingtel,apd_vae,False
com.tdg.trueid.ph,apd_ae,False
com.sonymobile.androidapp.cameraaddon.areffect,abig_sae,True
com.asus.asusincallui,abig_ae,True
com.tdg.trueid.ph,exodus_vae,False
com.sonymobile.androidapp.cameraaddon.areffect,apd_sae,False
com.tdg.trueid.ph,exodus_ae,False
com.tdg.trueid.ph,abig_vae,True
com.tdg.trueid.ph,exodus_sae,False
com.sonymobile.androidapp.cameraaddon.areffect,apd_ae,False
com.realme.link,apd_vae,True
com.tdg.trueid.ph,abig_ae,True
com.singtel.mysingtel,abig_sae,True
com.sonymobile.androidapp.cameraaddon.areffect,exodus_vae,False
com.singtel.mysingtel,apd_sae,True
com.sonymobile.androidapp.cameraaddon.areffect,exodus_ae,False
com.sonymobile.androidapp.cameraaddon.areffect,abig_vae,True
com.sonymobile.androidapp.cameraaddon.areffect,exodus_sae,False
com.singtel.mysingtel,apd_ae,True
com.realme.link,abig_sae,True
com.locationchanger,apd_vae,False
com.singtel.mysingtel,exodus_vae,True
com.sonymobile.androidapp.cameraaddon.areffect,abig_ae,True
com.singtel.mysingtel,abig_vae,True
com.realme.link,apd_sae,False
com.singtel.mysingtel,exodus_sae,True
com.singtel.mysingtel,exodus_ae,True
com.realme.link,apd_ae,True
com.locationchanger,abig_sae,True
io.zotto.linkpay,apd_vae,False
com.singtel.mysingtel,abig_ae,True
com.realme.link,exodus_vae,True
com.locationchanger,apd_sae,False
com.realme.link,exodus_sae,True
com.realme.link,abig_vae,True
com.realme.link,exodus_ae,True
com.locationchanger,apd_ae,False
com.generalmobile.assistant,apd_vae,False
io.zotto.linkpay,abig_sae,True
com.realme.link,abig_ae,True
com.locationchanger,exodus_vae,False
io.zotto.linkpay,apd_sae,False
com.locationchanger,exodus_sae,False
com.locationchanger,abig_vae,True
io.zotto.linkpay,apd_ae,False
com.asus.calculator,apd_vae,False
com.locationchanger,exodus_ae,True
com.generalmobile.assistant,abig_sae,True
com.generalmobile.assistant,apd_sae,False
io.zotto.linkpay,exodus_sae,False
io.zotto.linkpay,exodus_vae,False
com.locationchanger,abig_ae,True
com.generalmobile.assistant,apd_ae,True
io.zotto.linkpay,abig_vae,True
kr.co.wschurch.m,apd_vae,False
io.zotto.linkpay,exodus_ae,True
com.generalmobile.assistant,exodus_vae,True
com.generalmobile.assistant,exodus_sae,True
com.asus.calculator,apd_sae,False
com.asus.calculator,abig_sae,True
com.generalmobile.assistant,abig_vae,True
io.zotto.linkpay,abig_ae,True
com.asus.calculator,apd_ae,False
com.sony.nfx.app.sfrc,apd_vae,False
com.generalmobile.assistant,exodus_ae,True
com.asus.calculator,exodus_sae,False
kr.co.wschurch.m,abig_sae,False
kr.co.wschurch.m,apd_sae,False
com.asus.calculator,exodus_vae,False
kr.co.wschurch.m,apd_ae,False
com.generalmobile.assistant,abig_ae,True
com.sonyericsson.xhs,apd_vae,False
com.asus.calculator,abig_vae,True
com.sony.nfx.app.sfrc,abig_sae,True
kr.co.wschurch.m,exodus_vae,False
com.asus.calculator,exodus_ae,False
com.sony.nfx.app.sfrc,apd_ae,False
kr.co.wschurch.m,exodus_sae,False
com.sony.nfx.app.sfrc,apd_sae,False
com.blocksi.parent,apd_vae,False
com.asus.calculator,abig_ae,True
kr.co.wschurch.m,abig_vae,False
com.sony.nfx.app.sfrc,exodus_vae,False
com.sonyericsson.xhs,abig_sae,True
com.sony.nfx.app.sfrc,exodus_sae,False
kr.co.wschurch.m,exodus_ae,False
com.sonyericsson.xhs,apd_ae,True
com.s.antivirus,apd_vae,True
kr.co.wschurch.m,abig_ae,True
com.sonyericsson.xhs,apd_sae,False
com.sony.nfx.app.sfrc,abig_vae,True
com.sonyericsson.xhs,exodus_vae,True
com.blocksi.parent,apd_ae,False
com.sonyericsson.xhs,exodus_sae,True
com.whatsapp,apd_vae,True
com.blocksi.parent,abig_sae,True
com.sony.nfx.app.sfrc,exodus_ae,True
com.sony.nfx.app.sfrc,abig_ae,True
com.sonyericsson.xhs,abig_vae,True
com.blocksi.parent,apd_sae,False
com.blocksi.parent,exodus_vae,False
com.oneplus.mms,apd_vae,False
com.sonyericsson.xhs,exodus_ae,True
com.blocksi.parent,exodus_sae,False
com.s.antivirus,abig_sae,True
com.s.antivirus,apd_ae,True
com.sonyericsson.xhs,abig_ae,True
com.blocksi.parent,abig_vae,True
com.s.antivirus,apd_sae,False
com.s.antivirus,exodus_vae,True
com.whatsapp,abig_sae,True
com.telecomitalia.cubomusica,apd_vae,False
com.blocksi.parent,exodus_ae,False
com.s.antivirus,exodus_sae,True
com.whatsapp,apd_ae,True
com.blocksi.parent,abig_ae,True
com.s.antivirus,abig_vae,True
com.whatsapp,apd_sae,False
com.whatsapp,exodus_vae,True
com.s.antivirus,exodus_ae,True
net.oneplus.forums,apd_vae,False
com.oneplus.mms,abig_sae,True
com.s.antivirus,abig_ae,True
com.oneplus.mms,apd_ae,True
com.whatsapp,exodus_sae,True
com.whatsapp,abig_vae,True
com.oneplus.mms,apd_sae,False
com.whatsapp,exodus_ae,True
com.whatsapp,abig_ae,True
com.telecomitalia.cubomusica,apd_ae,False
com.telecomitalia.cubomusica,abig_sae,True
com.oneplus.mms,exodus_vae,True
com.infotalkcorporation.android.golfhandicap,apd_vae,False
com.oneplus.mms,exodus_sae,True
com.telecomitalia.cubomusica,apd_sae,False
com.oneplus.mms,abig_vae,True
com.oneplus.mms,exodus_ae,True
net.oneplus.forums,abig_sae,True
net.oneplus.forums,apd_ae,False
com.telecomitalia.cubomusica,exodus_vae,True
id.co.babe,apd_vae,False
com.oneplus.mms,abig_ae,True
net.oneplus.forums,apd_sae,False
com.telecomitalia.cubomusica,exodus_sae,True
com.telecomitalia.cubomusica,abig_vae,True
com.telecomitalia.cubomusica,exodus_ae,True
net.oneplus.forums,exodus_vae,False
com.infotalkcorporation.android.golfhandicap,abig_sae,True
com.infotalkcorporation.android.golfhandicap,apd_ae,False
com.infotalkcorporation.android.golfhandicap,apd_sae,False
com.oneplus.iconpack.oneplush2,apd_vae,False
com.telecomitalia.cubomusica,abig_ae,True
net.oneplus.forums,exodus_sae,False
net.oneplus.forums,exodus_ae,False
com.infotalkcorporation.android.golfhandicap,exodus_vae,False
id.co.babe,abig_sae,True
net.oneplus.forums,abig_vae,True
net.oneplus.forums,abig_ae,True
id.co.babe,apd_sae,False
id.co.babe,apd_ae,False
com.infotalkcorporation.android.golfhandicap,exodus_sae,False
com.mobisystems.fileman,apd_vae,False
id.co.babe,exodus_vae,False
com.infotalkcorporation.android.golfhandicap,exodus_ae,False
com.oneplus.iconpack.oneplush2,abig_sae,False
com.oneplus.iconpack.oneplush2,apd_sae,False
com.infotalkcorporation.android.golfhandicap,abig_vae,True
com.oneplus.iconpack.oneplush2,apd_ae,False
com.huawei.hwdetectrepair,apd_vae,True
com.infotalkcorporation.android.golfhandicap,abig_ae,True
id.co.babe,exodus_sae,False
com.oneplus.iconpack.oneplush2,exodus_vae,False
com.mobisystems.fileman,abig_sae,True
id.co.babe,abig_vae,True
id.co.babe,exodus_ae,False
com.mobisystems.fileman,apd_sae,False
com.mobisystems.fileman,apd_ae,True
com.microsoft.skydrive,apd_vae,False
com.oneplus.iconpack.oneplush2,exodus_sae,False
id.co.babe,abig_ae,True
com.huawei.hwdetectrepair,apd_sae,False
com.huawei.hwdetectrepair,abig_sae,True
com.mobisystems.fileman,exodus_vae,False
com.oneplus.iconpack.oneplush2,exodus_ae,False
com.oneplus.iconpack.oneplush2,abig_vae,False
com.huawei.hwdetectrepair,apd_ae,True
com.mobisystems.fileman,exodus_sae,True
com.oneplus.iconpack.oneplush2,abig_ae,False
com.oneplus.filemanager,apd_vae,False
com.huawei.hwdetectrepair,exodus_vae,True
com.microsoft.skydrive,abig_sae,True
com.microsoft.skydrive,apd_sae,False
com.mobisystems.fileman,exodus_ae,True
com.mobisystems.fileman,abig_vae,True
com.huawei.hwdetectrepair,exodus_sae,True
com.microsoft.skydrive,apd_ae,True
com.huawei.hwid,apd_vae,True
com.mobisystems.fileman,abig_ae,True
com.oneplus.filemanager,abig_sae,True
com.oneplus.filemanager,apd_sae,False
com.huawei.hwdetectrepair,exodus_ae,True
com.microsoft.skydrive,exodus_vae,True
com.huawei.hwdetectrepair,abig_vae,True
com.microsoft.skydrive,exodus_sae,True
com.oneplus.filemanager,apd_ae,False
com.google.android.tts,apd_vae,False
com.huawei.hwdetectrepair,abig_ae,True
com.huawei.hwid,abig_sae,True
com.microsoft.skydrive,exodus_ae,True
com.huawei.hwid,apd_sae,False
com.microsoft.skydrive,abig_vae,True
com.oneplus.filemanager,exodus_vae,False
com.oneplus.filemanager,exodus_sae,True
com.microsoft.skydrive,abig_ae,True
com.huawei.hwid,apd_ae,True
com.samsung.android.email.provider,apd_vae,True
com.google.android.tts,apd_sae,False
com.oneplus.filemanager,exodus_ae,True
com.google.android.tts,abig_sae,True
com.oneplus.filemanager,abig_vae,True
com.huawei.hwid,exodus_vae,True
com.huawei.hwid,exodus_sae,True
com.google.android.tts,apd_ae,False
com.huawei.hwid,exodus_ae,True
com.oneplus.filemanager,abig_ae,True
jp.ebookjapan.ebireader,apd_vae,False
com.samsung.android.email.provider,apd_sae,False
com.samsung.android.email.provider,abig_sae,True
com.google.android.tts,exodus_vae,False
com.huawei.hwid,abig_vae,True
com.google.android.tts,exodus_sae,False
com.huawei.hwid,abig_ae,True
com.google.android.tts,exodus_ae,False
com.samsung.android.email.provider,apd_ae,True
com.yvisherve.faba_app,apd_vae,False
jp.ebookjapan.ebireader,abig_sae,True
jp.ebookjapan.ebireader,apd_sae,False
com.samsung.android.email.provider,exodus_vae,True
com.google.android.tts,abig_ae,True
com.google.android.tts,abig_vae,True
com.samsung.android.email.provider,exodus_sae,True
com.yvisherve.faba_app,abig_sae,False
com.samsung.android.email.provider,exodus_ae,True
com.yvisherve.faba_app,apd_sae,False
ru.yandex.searchplugin,apd_vae,False
jp.ebookjapan.ebireader,apd_ae,False
jp.ebookjapan.ebireader,exodus_vae,False
com.samsung.android.email.provider,abig_vae,True
com.samsung.android.email.provider,abig_ae,True
jp.ebookjapan.ebireader,exodus_sae,False
jp.ebookjapan.ebireader,exodus_ae,True
ru.yandex.searchplugin,apd_sae,False
ru.yandex.searchplugin,abig_sae,True
com.yvisherve.faba_app,exodus_vae,False
com.oneplus.gamespace,apd_vae,False
com.yvisherve.faba_app,apd_ae,False
jp.ebookjapan.ebireader,abig_vae,True
com.yvisherve.faba_app,exodus_sae,False
jp.ebookjapan.ebireader,abig_ae,True
com.yvisherve.faba_app,exodus_ae,False
com.oneplus.gamespace,apd_sae,False
com.oneplus.gamespace,abig_sae,True
ru.yandex.searchplugin,apd_ae,False
ru.yandex.searchplugin,exodus_vae,True
com.google.android.apps.wellbeing,apd_vae,False
com.yvisherve.faba_app,abig_vae,False
ru.yandex.searchplugin,exodus_sae,True
com.yvisherve.faba_app,abig_ae,True
com.google.android.apps.wellbeing,apd_sae,False
ru.yandex.searchplugin,exodus_ae,True
com.oneplus.gamespace,exodus_vae,False
com.google.android.apps.wellbeing,abig_sae,True
com.sonyericsson.music,apd_vae,False
com.oneplus.gamespace,apd_ae,False
ru.yandex.searchplugin,abig_vae,True
com.oneplus.gamespace,exodus_sae,False
com.oneplus.gamespace,exodus_ae,False
ru.yandex.searchplugin,abig_ae,True
com.sonyericsson.music,apd_sae,False
com.google.android.apps.wellbeing,exodus_vae,True
com.sonyericsson.music,abig_sae,True
com.oneplus.gamespace,abig_vae,True
com.hmdglobal.camera2,apd_vae,False
com.google.android.apps.wellbeing,apd_ae,False
com.google.android.apps.wellbeing,exodus_sae,True
com.hmdglobal.camera2,apd_sae,False
com.google.android.apps.wellbeing,exodus_ae,True
com.oneplus.gamespace,abig_ae,True
com.sonyericsson.music,exodus_vae,False
com.hmdglobal.camera2,abig_sae,True
com.oneplus.iconpack.square,apd_vae,False
com.google.android.apps.wellbeing,abig_vae,True
com.sonyericsson.music,exodus_sae,True
com.sonyericsson.music,apd_ae,False
